Perspective,Model,CV_Accuracy_Mean,CV_Macro_F1_Mean,CV_Macro_F1_Std,Test_Accuracy,Test_Macro_F1,Test_Weighted_F1,Dropout_F1,Dropout_Recall,Enrolled_F1,Enrolled_Recall,Graduate_F1,Graduate_Recall
Perspective A (Pre-Enrollment),Baseline (Stratified),0.3919,0.3383,0.0092,0.4102,0.3567,0.4097,0.3765,0.3838,0.1801,0.1761,0.5136,0.5113
Perspective A (Pre-Enrollment),Logistic Regression,0.603,0.5675,0.0166,0.574,0.5506,0.5906,0.6272,0.5775,0.3825,0.522,0.6421,0.5905
Perspective A (Pre-Enrollment),Decision Tree,0.5032,0.4988,0.0221,0.4949,0.4989,0.5249,0.5577,0.4507,0.3847,0.761,0.5543,0.4276
Perspective A (Pre-Enrollment),Random Forest,0.6208,0.5817,0.0133,0.591,0.5464,0.5986,0.6221,0.6232,0.3408,0.3836,0.6762,0.6448
Perspective A (Pre-Enrollment),HistGradientBoosting,0.6143,0.5548,0.0145,0.5898,0.5356,0.5919,0.6047,0.5951,0.3212,0.3333,0.681,0.6787
Perspective A (Pre-Enrollment),Support Vector Machine (RBF),0.6095,0.5761,0.0243,0.5672,0.5395,0.5822,0.593,0.5669,0.3762,0.4969,0.6493,0.5928
Perspective B (Academic-Progress),Baseline (Stratified),0.3919,0.3383,0.0092,0.4102,0.3567,0.4097,0.3765,0.3838,0.1801,0.1761,0.5136,0.5113
Perspective B (Academic-Progress),Logistic Regression,0.7513,0.7093,0.0155,0.7243,0.6876,0.7372,0.7409,0.6796,0.5025,0.6352,0.8194,0.7851
Perspective B (Academic-Progress),Decision Tree,0.6971,0.6698,0.0161,0.6486,0.6314,0.6741,0.6986,0.6162,0.4603,0.7107,0.7352,0.6471
Perspective B (Academic-Progress),Random Forest,0.7556,0.7131,0.0247,0.7492,0.7069,0.7577,0.7619,0.7042,0.5173,0.6101,0.8414,0.8281
Perspective B (Academic-Progress),HistGradientBoosting,0.7677,0.7092,0.0143,0.7446,0.6926,0.747,0.738,0.7042,0.497,0.5283,0.8427,0.8484
Perspective B (Academic-Progress),Support Vector Machine (RBF),0.7519,0.7124,0.0156,0.7299,0.6904,0.7404,0.749,0.6831,0.5013,0.6101,0.8208,0.8032
